20/04/2018 11:15:04 BST
PING 45.221.77.2 (45.221.77.2) 56(84) bytes of data.
64 bytes from 45.221.77.2: icmp_seq=108 ttl=43 time=169 ms
64 bytes from 45.221.77.2: icmp_seq=109 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=110 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=111 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=112 ttl=43 time=169 ms
64 bytes from 45.221.77.2: icmp_seq=113 ttl=43 time=169 ms
64 bytes from 45.221.77.2: icmp_seq=114 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=115 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=116 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=117 ttl=43 time=169 ms
64 bytes from 45.221.77.2: icmp_seq=118 ttl=43 time=169 ms
64 bytes from 45.221.77.2: icmp_seq=119 ttl=43 time=168 ms
64 bytes from 45.221.77.2: icmp_seq=120 ttl=43 time=169 ms

--- 45.221.77.2 ping statistics ---
120 packets transmitted, 117 received, 2% packet loss, time 119122ms
rtt min/avg/max/mdev = 168.763/171.295/296.075/14.841 ms
PING 116.90.239.10 (116.90.239.10) 56(84) bytes of data.
64 bytes from 116.90.239.10: icmp_seq=1 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=2 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=3 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=4 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=5 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=6 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=7 ttl=46 time=312 ms
64 bytes from 116.90.239.10: icmp_seq=8 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=9 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=10 ttl=46 time=310 ms
64 bytes from 116.90.239.10: icmp_seq=11 ttl=46 time=311 ms
64 bytes from 116.90.239.10: icmp_seq=12 ttl=46 time=313 ms
