Date, Host, Packet loss, min, avg, max, mdev
21/04/2018 06:29:12 BST, 116.90.239.10,  0%, 244.664, 244.952, 245.433, 0.628
21/04/2018 06:31:12 BST, 41.72.99.143,  2%, 183.218, 184.415, 188.720, 0.729
21/04/2018 06:33:12 BST, 163.43.24.70,  0%, 149.930, 150.644, 152.295, 0.455
21/04/2018 06:37:21 BST, 103.242.31.11,  0%, 169.979, 177.403, 194.476, 6.585
21/04/2018 06:39:20 BST, 103.75.188.168,  71%, 10.423, 10.509, 10.743, 0.121
21/04/2018 06:41:20 BST, 107.190.134.163,  0%, 244.737, 267.136, 272.957, 9.650
21/04/2018 06:43:20 BST, 103.241.150.190,  0%, 192.104, 193.260, 199.515, 1.050
21/04/2018 06:45:19 BST, 112.137.166.236,  0%, 12.091, 12.261, 13.167, 0.214
21/04/2018 06:47:18 BST, 178.33.235.187,  0%, 192.097, 193.364, 198.283, 1.160
21/04/2018 06:49:18 BST, 101.100.209.220,  19%, 293.094, 293.603, 294.459, 0.798
21/04/2018 06:51:18 BST, 116.12.51.45,  0%, 6.446, 6.535, 6.983, 0.071
21/04/2018 06:53:17 BST, 188.42.162.69,  0%, 174.311, 175.980, 197.336, 2.830
21/04/2018 06:55:17 BST, 116.12.51.45,  0%, 197.130, 198.720, 219.902, 2.330
21/04/2018 06:57:16 BST, 180.92.193.10,  0%, 246.820, 248.430, 265.370, 2.751
21/04/2018 12:19:05 BST, 104.20.72.23,  0%, 165.764, 168.130, 182.225, 1.729
21/04/2018 12:21:05 BST, 202.78.202.70,  0%, 238.228, 300.162, 526.636, 35.748
21/04/2018 12:25:13 BST, 200.170.94.6,  0%, 166.907, 238.488, 250.491, 24.776
21/04/2018 12:27:13 BST, 45.221.77.2,  0%, 226.847, 230.222, 231.979, 1.379
21/04/2018 12:29:12 BST, 116.90.239.10,  0%, 243.800, 247.527, 286.762, 4.030
21/04/2018 12:31:11 BST, 41.72.99.143,  15%, 183.809, 186.315, 189.911, 1.017
21/04/2018 12:33:11 BST, 163.43.24.70,  0%, 151.731, 152.353, 153.261, 0.601
21/04/2018 12:37:20 BST, 103.242.31.11,  0%, 169.547, 172.275, 174.381, 0.940
21/04/2018 12:39:19 BST, 103.75.188.168,  70%, 10.354, 10.621, 10.946, 0.133
21/04/2018 12:41:20 BST, 107.190.134.163,  0%, 270.448, 274.318, 278.045, 2.051
21/04/2018 12:43:19 BST, 103.241.150.190,  0%, 192.104, 194.733, 196.480, 1.487
21/04/2018 12:45:19 BST, 112.137.166.236,  0%, 12.231, 12.514, 25.546, 1.214
